Name,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number
4_076_1.mp4,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16
4_076_1.mp4,5,4,23,1,a person riding a bicycle,a certain number of persons fighting,33
4_076_1.mp4,0,0,0,0,a person riding a bicycle,a group of persons playing,0
4_076_1.mp4,7,0,5,6,a person riding a bicycle,a person running,18
4_076_1.mp4,0,0,48,27,a person riding a bicycle,a person lying in the floor,75
4_076_1.mp4,3,0,39,16,a person riding a bicycle,a person chasing other person,58
3_106_1.mp4,19,0,0,0,a person riding a bicycle,a person riding a bicycle,19
3_106_1.mp4,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0
3_106_1.mp4,0,0,0,0,a person riding a bicycle,a group of persons playing,0
3_106_1.mp4,0,0,0,0,a person riding a bicycle,a person running,0
3_106_1.mp4,0,0,51,27,a person riding a bicycle,a person lying in the floor,78
3_106_1.mp4,0,0,0,0,a person riding a bicycle,a person chasing other person,0
1_067_1.mp4,15,0,0,0,a person riding a bicycle,a person riding a bicycle,15
1_067_1.mp4,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0
1_067_1.mp4,0,0,0,0,a person riding a bicycle,a group of persons playing,0
1_067_1.mp4,0,0,0,0,a person riding a bicycle,a person running,0
1_067_1.mp4,0,0,13,0,a person riding a bicycle,a person lying in the floor,13
1_067_1.mp4,0,0,0,0,a person riding a bicycle,a person chasing other person,0
1_066_1.mp4,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16
1_066_1.mp4,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0
1_066_1.mp4,0,0,0,0,a person riding a bicycle,a group of persons playing,0
1_066_1.mp4,21,3,4,1,a person riding a bicycle,a person running,29
1_066_1.mp4,0,0,25,22,a person riding a bicycle,a person lying in the floor,47
1_066_1.mp4,9,1,0,3,a person riding a bicycle,a person chasing other person,13
2_096_1.mp4,29,0,0,0,a person riding a bicycle,a person riding a bicycle,29
2_096_1.mp4,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0
2_096_1.mp4,0,0,0,0,a person riding a bicycle,a group of persons playing,0
2_096_1.mp4,0,0,0,0,a person riding a bicycle,a person running,0
2_096_1.mp4,0,0,39,43,a person riding a bicycle,a person lying in the floor,82
2_096_1.mp4,0,0,0,0,a person riding a bicycle,a person chasing other person,0
4_077_1.mp4,20,0,0,0,a person riding a bicycle,a person riding a bicycle,20
4_077_1.mp4,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0
4_077_1.mp4,0,0,0,0,a person riding a bicycle,a group of persons playing,0
4_077_1.mp4,0,0,0,0,a person riding a bicycle,a person running,0
4_077_1.mp4,0,0,43,14,a person riding a bicycle,a person lying in the floor,57
4_077_1.mp4,0,0,1,0,a person riding a bicycle,a person chasing other person,1
3_105_1.mp4,18,0,0,0,a person riding a bicycle,a person riding a bicycle,18
3_105_1.mp4,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0
3_105_1.mp4,0,0,0,0,a person riding a bicycle,a group of persons playing,0
3_105_1.mp4,2,2,7,5,a person riding a bicycle,a person running,16
3_105_1.mp4,0,0,53,47,a person riding a bicycle,a person lying in the floor,100
3_105_1.mp4,0,4,11,1,a person riding a bicycle,a person chasing other person,16
2_065_1.mp4,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0
2_065_1.mp4,27,1,23,3,a certain number of persons fighting,a certain number of persons fighting,54
2_065_1.mp4,0,0,0,0,a certain number of persons fighting,a group of persons playing,0
2_065_1.mp4,17,1,63,37,a certain number of persons fighting,a person running,118
2_065_1.mp4,0,0,131,131,a certain number of persons fighting,a person lying in the floor,262
2_065_1.mp4,28,7,64,45,a certain number of persons fighting,a person chasing other person,144
1_071_1.mp4,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0
1_071_1.mp4,28,14,0,0,a certain number of persons fighting,a certain number of persons fighting,42
1_071_1.mp4,0,0,0,0,a certain number of persons fighting,a group of persons playing,0
1_071_1.mp4,8,15,29,20,a certain number of persons fighting,a person running,72
1_071_1.mp4,0,0,65,46,a certain number of persons fighting,a person lying in the floor,111
1_071_1.mp4,35,32,4,12,a certain number of persons fighting,a person chasing other person,83
4_079_1.mp4,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0
4_079_1.mp4,2,21,60,26,a certain number of persons fighting,a certain number of persons fighting,109
4_079_1.mp4,0,0,0,0,a certain number of persons fighting,a group of persons playing,0
4_079_1.mp4,13,3,48,9,a certain number of persons fighting,a person running,73
4_079_1.mp4,0,0,123,78,a certain number of persons fighting,a person lying in the floor,201
4_079_1.mp4,5,0,59,25,a certain number of persons fighting,a person chasing other person,89
1_072_1.mp4,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0
1_072_1.mp4,83,12,14,0,a certain number of persons fighting,a certain number of persons fighting,109
1_072_1.mp4,0,0,0,0,a certain number of persons fighting,a group of persons playing,0
1_072_1.mp4,11,0,89,11,a certain number of persons fighting,a person running,111
1_072_1.mp4,0,0,114,18,a certain number of persons fighting,a person lying in the floor,132
1_072_1.mp4,68,6,19,4,a certain number of persons fighting,a person chasing other person,97
2_077_1.mp4,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0
2_077_1.mp4,22,22,0,1,a certain number of persons fighting,a certain number of persons fighting,45
